Date,Open,High,Low,Close,Adj Close,Volume
2018-02-08,239.5,242.0,238.0,238.5,238.5,30989550
2018-02-09,230.0,233.0,228.5,232.5,232.5,65735265
2018-02-12,235.5,237.5,235.0,236.5,236.5,35635236
2018-02-21,244.5,244.5,242.0,242.5,242.5,71504174
2018-02-22,244.0,244.0,239.0,239.5,239.5,39239993
2018-02-23,241.0,245.0,241.0,245.0,245.0,26985776
2018-02-26,247.0,247.5,245.0,246.5,246.5,35901810
2018-02-27,250.5,250.5,246.0,246.0,246.0,40818119
2018-03-01,244.0,245.0,242.0,243.0,243.0,39719984
2018-03-02,240.0,241.0,238.5,240.0,240.0,35139170
2018-03-05,242.5,243.0,240.5,241.5,241.5,27337846
2018-03-06,245.5,250.0,245.5,250.0,250.0,34890780
2018-03-07,248.0,248.5,246.0,247.0,247.0,30391219
2018-03-08,249.5,251.5,249.0,249.5,249.5,20645694
2018-03-09,250.0,251.0,248.5,250.5,250.5,19831063
2018-03-12,252.0,255.0,251.5,254.0,254.0,24492615
2018-03-13,255.5,259.0,255.0,259.0,259.0,33756883
2018-03-14,256.5,257.5,255.5,257.0,257.0,23772838
2018-03-15,258.0,258.0,255.0,255.0,255.0,19396493
2018-03-16,253.0,256.0,249.5,255.0,255.0,62929326
2018-03-19,252.5,255.5,251.0,255.0,255.0,21440766
2018-03-20,253.0,254.0,251.5,253.0,253.0,21840151
2018-03-21,255.0,255.0,251.0,252.5,252.5,28976737
2018-03-22,254.5,254.5,249.5,251.5,251.5,27000668
2018-03-23,245.0,247.0,244.0,245.0,245.0,52498390
2018-03-26,241.5,244.5,241.5,243.5,243.5,36987945
2018-03-27,248.0,251.0,247.0,251.0,251.0,31008260
2018-03-28,247.5,248.0,244.0,245.0,245.0,29637411
2018-03-29,243.0,247.0,242.5,244.0,244.0,36165345
2018-03-30,247.5,249.5,246.0,246.0,246.0,16996346
2018-04-02,248.5,249.0,245.0,246.5,246.5,17696003
2018-04-03,243.0,244.5,242.0,244.0,244.0,35813944
2018-04-09,248.0,248.0,243.5,245.0,245.0,34694824
2018-04-10,244.5,249.0,243.5,245.5,245.5,25156994
2018-04-11,246.5,248.5,246.5,248.0,248.0,21607935
2018-04-12,248.5,248.5,244.0,245.0,245.0,20409657
2018-04-13,246.0,246.0,244.0,244.5,244.5,19742548
2018-04-16,243.0,244.0,242.0,243.5,243.5,18350139
2018-04-17,243.0,243.5,237.5,238.0,238.0,42756389
2018-04-18,239.5,241.5,236.5,238.0,238.0,42500048
2018-04-19,242.0,244.5,241.0,244.5,244.5,31901989
2018-04-20,228.0,231.5,228.0,229.0,229.0,128452087
2018-04-23,226.5,227.5,225.0,226.5,226.5,71009975
2018-04-24,225.0,227.5,225.0,227.0,227.0,40967892
2018-04-25,225.5,226.0,224.0,225.0,225.0,46771110
2018-04-26,225.0,225.5,221.0,222.0,222.0,48023557
2018-04-27,225.0,225.5,221.0,223.5,223.5,34174459
2018-04-30,224.5,228.0,222.5,227.0,227.0,28500789
2018-05-02,227.0,227.5,222.5,223.0,223.0,38167942
2018-05-03,221.0,222.5,220.0,220.5,220.5,31690731
2018-05-04,221.0,224.0,220.5,223.0,223.0,27208722
2018-05-07,225.0,225.5,221.5,223.5,223.5,23268759
2018-05-08,224.0,228.5,223.5,228.0,228.0,40324763
2018-05-09,228.5,232.0,228.5,229.5,229.5,33778934
2018-05-10,231.0,231.5,229.0,229.5,229.5,27530377
2018-05-11,232.0,234.0,230.5,233.0,233.0,30693910
2018-05-14,234.5,234.5,232.5,233.0,233.0,19921437
2018-05-15,233.5,234.0,229.5,230.5,230.5,23771769
2018-05-16,229.5,230.5,228.5,230.5,230.5,14409556
2018-05-17,231.0,231.5,226.5,226.5,226.5,26852737
2018-05-18,225.5,227.5,223.5,223.5,223.5,27664541
2018-05-21,225.0,230.0,225.0,229.0,229.0,16127815
2018-05-22,230.0,233.5,229.0,229.0,229.0,22355097
2018-05-23,231.5,231.5,228.5,228.5,228.5,23062899
2018-05-24,229.5,230.0,228.5,229.0,229.0,12996610
2018-05-25,228.5,229.5,228.0,228.5,228.5,15971294
2018-05-28,229.5,230.0,226.5,227.0,227.0,16373270
2018-05-29,226.5,226.5,223.5,225.0,225.0,23764776
2018-05-30,224.0,224.0,220.5,221.0,221.0,49163788
2018-05-31,221.5,224.0,220.5,224.0,224.0,96069458
2018-06-01,224.5,226.5,224.0,224.0,224.0,27617994
2018-06-04,227.5,229.0,227.0,229.0,229.0,25959480
2018-06-05,230.0,230.0,226.5,229.0,229.0,26534884
2018-06-06,229.0,230.0,227.0,230.0,230.0,24767441
2018-06-07,231.0,231.5,228.0,230.0,230.0,24958266
2018-06-08,229.0,229.0,226.0,227.0,227.0,23548851
2018-06-11,226.5,227.0,225.0,226.0,226.0,21696933
2018-06-12,225.0,229.0,224.0,229.0,229.0,29501260
2018-06-13,229.0,232.0,228.0,232.0,232.0,28944970
2018-06-14,230.0,230.0,226.5,226.5,226.5,33408041
